ranking,World Rank,University,Rank
301,10909,Hochschule für Musik Karlsruhe,2
302,10966,EBC Hochschule,2
303,10978,Hochschule der Bildenden Künste Saarbrücken,2
304,11004,design akademie berlin,2
305,11019,Mobile University (SRH FernHochschule Riedlingen),2
306,11054,IUBH Duales Studium,2
307,11183,Philosophisch Theologische Hochschule Valledar,2
308,11224,(3) Duale Hochschule Baden-Württemberg DHWB Villingen-Schwenningen,2
309,11255,Europäischen Fernhochschule Hamburg,2
310,11304,IST Hochschule für Management,2
311,11304,Evangelische Hochschule Ludwigsburg,2
312,11350,Katholische Fachhochschule Freiburg Hochschule für Sozialwesen,2
313,11364,Akademie der Bildenden Künste Nurnberg,2
314,11389,Quadriga Hochschule Berlin,2
315,11437,Hochschule für Musik Nürnberg,2
316,11486,German Graduate School of Management & Law,2
317,11501,Evangelische Hochschule Darmstadt,2
318,11640,Apollon Hochschule der Gesundheitswirtschaft,2
319,11816,bbw Hochschule,2
320,11842,German International School of Management and Administration,2
321,11955,Palucca Hochschule für Tanz Dresden,2
322,11973,Allensbach Hochschule Konstanz,2
323,11973,Kunstakademie Münster,2
324,12016,Theologische Hochschule Friedensau,2
325,12057,Hochschule für Forstwirtschaft Rottenburg,2
326,12102,Hochschule der Populären Künste,2
327,12130,Hochschule für Verwaltung und Finanzen Ludwigsburg,2
328,12145,International Psychoanalytic University,2
329,12145,Berufsakademie Sachsen Glauchau,2
330,12155,Kunsthochschule in der Universität Kassel,2
331,12162,Evangelische Hochschule Nurnberg,2
332,12203,Dresden International University,2
333,12452,Evangelische Hochschule Freiburg,2
334,12486,Berufsakademie Thüringen Dresden,2
335,12500,Hochschule für Medien in Berlin DEKRA Hochschule,2
336,12518,BEST Sabel Hochschule Berlin,2
337,12538,University of Kassel International Management School,2
338,12538,Evangelische Fachhochschule Berlin,2
339,12572,Staatliche Akademie der Bildenden Künste Karlsruhe,2
340,12587,Wirtschaftsakademie Schleswig-Holstein,2
341,12621,Accadis Hochschule Bad Homburg,2
342,12725,Naturwissenschaftliches und Medizinisches Institut Universitat Tubingen,2
343,12767,CODE University of Applied Sciences,2
